timepoints,forecast
336,0.19840236008167278
337,0.1917623430490495
338,0.23553837835788738
339,0.09721560776233683
340,0.02212529256939898
341,-0.17542344331741322
342,-0.06803195178508749
343,0.027403175830841165
344,0.07555562257766733
345,0.4548216164112092
346,0.9051707983016969
347,1.1504958868026733
348,1.4703260660171509
349,1.677717924118042
350,1.74111008644104
351,1.9138271808624268
352,1.9072585105895996
353,1.7387425899505615
354,1.5571353435516357
355,1.1756510734558105
356,0.7712384462356568
357,0.2553754150867463
358,-0.011820681393146414
359,-0.1898081898689269
360,-0.28472402691841114
361,-0.2648831009864806
362,-0.28510567545890797
363,-0.423490285873413
364,-0.45934778451919545
365,-0.4661192297935485
366,-0.3494989573955535
367,-0.20714034140110005
368,-0.08224698156118383
369,0.18283297121524822
370,0.7071685194969178
371,0.9646107554435731
372,1.2176469564437866
373,1.315759301185608
374,1.5735160112380981
375,1.6119482517242432
376,1.6024982929229736
377,1.4925905466079712
378,1.2840532064437866
379,0.9441567659378053
380,0.5448808073997499
381,0.21917989850044262
382,-0.01643809676170339
383,-0.19977182149887074
384,-0.1914478838443755
385,-0.21831855177879322
386,-0.2600000500679015
387,-0.28279021382331837
388,-0.3045033514499663
389,-0.36305662989616383
390,-0.30696335434913624
391,-0.17546531558036793
392,-0.07608979940414419
393,0.2860909402370454
394,0.720824420452118
395,0.996091663837433
396,1.2313792705535889
397,1.573681354522705
398,1.6859203577041626
399,1.8193174600601196
400,1.699648380279541
401,1.5965948104858398
402,1.3159679174423218
403,1.0723457336425781
404,0.5383207201957704
405,0.24530133605003368
406,0.037416301667690374
407,-0.08368180692195883
408,-0.2200406789779662
409,-0.0952066108584403
410,-0.15167944133281697
411,-0.1746392548084258
412,-0.2194271683692931
413,-0.13583283126354206
414,-0.25367048382759083
415,-0.09927944093942632
416,-0.0024957880377768473
417,0.3841935396194459
418,0.809817671775818
419,1.0279957056045532
420,1.2899671792984009
421,1.5293858051300049
422,1.7224979400634766
423,1.7483327388763428
424,1.8151077032089233
425,1.7270070314407349
426,1.3818620443344116
427,1.0417420864105225
428,0.5620833039283754
429,0.3510641157627107
430,0.10726769268512736
431,-0.1530189812183379
