timepoints,forecast
336,0.37629568576812755
337,0.29624736309051525
338,0.25119033455848705
339,0.12796129286289226
340,-0.02062109112739553
341,-0.1520072817802428
342,-0.05576384067535391
343,0.16694658994674694
344,0.548792600631714
345,0.727425515651703
346,1.0621005296707153
347,1.4011987447738647
348,1.577889084815979
349,1.6440839767456055
350,1.8369019031524658
351,1.7259777784347534
352,1.5924937725067139
353,1.5269601345062256
354,1.3277466297149658
355,1.002928376197815
356,0.5663759112358094
357,0.3943653106689454
358,0.005360517650842766
359,-0.2173471599817275
360,-0.20393018424510945
361,-0.36466383934020985
362,-0.35185447335243214
363,-0.4204718768596648
364,-0.5666733980178832
365,-0.6665057539939879
366,-0.6030337810516356
367,-0.3589314520359038
368,0.025894731283187967
369,0.28297919034957897
370,0.6655671000480653
371,0.8623293638229371
372,1.1828837394714355
373,1.366134524345398
374,1.3558725118637085
375,1.4438790082931519
376,1.5379494428634644
377,1.4221696853637695
378,1.1747314929962158
379,0.9477164745330812
380,0.48259520530700695
381,0.08278428763151179
382,-0.06704121828079214
383,-0.4489617943763732
384,-0.4493700861930846
385,-0.4312053620815276
386,-0.6777209043502807
387,-0.7184752821922301
388,-0.9944642782211303
389,-0.9678935408592223
390,-0.8179636597633361
391,-0.46138998866081227
392,-0.05475142598152151
393,0.45496052503585827
394,0.9578550457954408
395,1.3552547693252563
396,1.7444615364074707
397,1.9244548082351685
398,2.0191283226013184
399,2.216832160949707
400,2.2485992908477783
401,2.2947046756744385
402,1.9821560382843018
403,1.7556371688842773
404,1.1960771083831787
405,0.7207332253456117
406,0.5241509079933168
407,0.3336387872695924
408,0.2316303700208665
409,0.25798192620277416
410,0.3053566813468934
411,0.1924707591533662
412,0.14948254823684703
413,0.13247010111808788
414,0.2270174026489259
415,0.43664082884788524
416,0.7380288839340211
417,1.2546931505203247
418,1.7443873882293701
419,2.0944271087646484
420,2.2822673320770264
421,2.47235107421875
422,2.659148931503296
423,2.636890172958374
424,2.6297109127044678
425,2.5078887939453125
426,2.245729923248291
427,1.9408586025238037
428,1.489445686340332
429,0.9814252257347108
430,0.695133924484253
431,0.5819993615150453
