timepoints,forecast
336,11.504393259437371
337,11.896861175449182
338,12.57159445658474
339,13.58811376467495
340,14.66403100863247
341,15.772606591136743
342,16.66213629618435
343,17.185155609996606
344,17.31717846766262
345,17.00880787745266
346,16.20275423899441
347,15.041807869823266
348,13.912867764385034
349,12.68429468050747
350,11.703907827289392
351,10.95910877958088
352,10.485000754149247
353,10.156045118720819
354,9.803280869872857
355,9.466767410190393
356,9.230756977947046
357,8.908132532985498
358,8.737017969043542
359,8.791783789546777
360,9.07112226858883
361,9.68094859495907
362,10.550868386776735
363,11.72520969286709
364,13.025025586040307
365,14.175861576946069
366,15.089145878703881
367,15.741132954509546
368,15.903545121105005
369,15.605698803813745
370,14.850577095897485
371,13.653043488414575
372,12.37695107832699
373,11.20272342339306
374,10.260394225271035
375,9.596748212726403
376,9.139366845042993
377,8.815317968280603
378,8.486952761562158
379,8.112727860362817
380,7.822079399974633
381,7.530978659541894
382,7.358426312358667
383,7.3499774731710446
384,7.807862261684228
385,8.521401862056543
386,9.468082884700586
387,10.57028012201338
388,11.788830975444604
389,12.956615904720117
390,13.983838776500512
391,14.751451233775903
392,15.059585789592553
393,14.842169979961206
394,14.151820877940942
395,13.024917105586816
396,11.781407336147119
397,10.487027118356515
398,9.470417241008569
399,8.712472895534326
400,8.242171505840112
401,7.9692306317403805
402,7.575560311229516
403,7.179737309367944
404,6.742516735942651
405,6.459577301891137
406,6.26236937418728
407,6.346400002391626
408,6.77362893000393
409,7.656153420360376
410,8.732350210101892
411,9.998574534805108
412,11.325228372962762
413,12.588170031459619
414,13.726034382732202
415,14.57867763415127
416,14.862523774059106
417,14.612728814037133
418,13.85363004580288
419,12.828734377773095
420,11.549498239906121
421,10.32070324793606
422,9.228780130298425
423,8.457869748027612
424,7.982969979198266
425,7.536599615962793
426,7.175042132289697
427,6.903994301708032
428,6.617539624126245
429,6.331226567180444
430,6.2702615059927
431,6.392875412853051
