timepoints,forecast
336,9.592834900306483
337,10.443520582762758
338,12.318385239875553
339,13.883126462952832
340,14.843341309483383
341,15.397890365476112
342,15.881627010540043
343,16.355997472294785
344,16.06021980956103
345,15.784953132266473
346,15.485278682231243
347,14.672084212889201
348,13.115006739142537
349,11.231318836532887
350,9.943914300157292
351,9.602487383028315
352,9.181628666821437
353,8.799227092296816
354,8.470904828919616
355,8.388247269684385
356,7.961923451056695
357,7.599049747965971
358,7.41987031087821
359,6.815234563834623
360,6.614411000966757
361,7.805922167046168
362,9.968995341166776
363,11.787842122632487
364,12.975522659013718
365,13.732867130271392
366,14.39485422107066
367,15.025375134358073
368,14.873967677227336
369,14.725725801778548
370,14.53825874342957
371,13.829185083982374
372,12.372056470631636
373,10.581370741037937
374,9.372005363860126
375,9.091236488121353
376,8.724895019167088
377,8.390528520097607
378,8.10434145378945
379,8.056647265958546
380,7.664595854913766
381,7.331722281547789
382,7.177505530148419
383,6.599291269811507
384,6.418371919824177
385,7.613655595325259
386,9.76885219492015
387,11.581599860389058
388,12.76803934066166
389,13.52716514676388
390,14.19075334650834
391,14.822192161358101
392,14.6786665692184
393,14.537503491915707
394,14.356830778702244
395,13.659186797129998
396,12.220466362976014
397,10.451073917581427
398,9.256767719431156
399,8.98139021336876
400,8.620986094128583
401,8.29196192515909
402,8.010392915502555
403,7.964713151332427
404,7.577943401633131
405,7.249594391545427
406,7.09796672780476
407,6.526467307027176
408,6.348167425866013
409,7.532171550523054
410,9.666376228252952
411,11.461490903064233
412,12.636512178600135
413,13.38844695080484
414,14.045751082046053
415,14.671183296122146
416,14.529383437251987
417,14.389887689498192
418,14.211248029836462
419,13.520794810059204
420,12.096673563509283
421,10.345175791896663
422,9.162978746970095
423,8.890478809439209
424,8.533790909889285
425,8.208155916158901
426,7.929489321468229
427,7.88433679107048
428,7.501506561892973
429,7.17650382878426
430,7.026443697794521
431,6.460716862407661
